"ano,""regiao"",""UF"",""etnia"",""%_etnia"",""%_desocupacao"",""%_subutilizacao"",""$_renda_med_formal"",""$_renda_med_informal"",""%_menor_renda_familiar"",""%_maior_renda_familiar"",""%_taxa_homicidio"""
"2013,""Nordeste"",""Bahia"",""Preta"",""79.927919953856"",""12.082789575712"",""31.140574756543"",""1891.7428737144"",""778.59598523893"",""85.038769686234"",""63.409833832987"",""42.24"""
"2013,""Nordeste"",""Ceará"",""Branca"",""29.352410478204"",""6.6963545662902"",""20.545250647107"",""2751.997838393"",""1172.7374446707"",""22.175351324051"",""52.751297978516"",""10.25"""
"2013,""Nordeste"",""Ceará"",""Preta"",""70.441970597216"",""7.9770763157475"",""25.956587630435"",""1699.7134463521"",""791.2805266869"",""77.558412781519"",""46.893137352994"",""35.78"""
"2013,""Nordeste"",""Maranhão"",""Branca"",""19.889794356498"",""8.4384373864905"",""22.391556231532"",""2046.6144950904"",""987.21150422319"",""15.116431510242"",""32.584320975274"",""15.22"""
"2013,""Nordeste"",""Maranhão"",""Preta"",""79.775182455728"",""7.9862207334905"",""23.915583394724"",""1720.0384720101"",""751.03220158494"",""84.61054987489"",""66.83856316419"",""35.16"""
"2013,""Nordeste"",""Paraíba"",""Branca"",""35.9468846326"",""9.2832196073117"",""31.710819659629"",""2193.1531338997"",""944.39193238673"",""33.220307683386"",""50.029699538885"",""6.95"""
"2013,""Nordeste"",""Paraíba"",""Preta"",""63.778073122481"",""8.9635431078205"",""36.235458673927"",""1709.2459016209"",""729.10801295672"",""66.69417375584"",""49.039736456941"",""52.06"""
"2013,""Nordeste"",""Pernambuco"",""Branca"",""33.732570183433"",""7.4332566538752"",""16.87780597723"",""3113.7657673677"",""1450.2734069957"",""24.915334080292"",""57.988586190092"",""7.17"""
"2013,""Nordeste"",""Pernambuco"",""Preta"",""65.992074828814"",""9.2993761761229"",""22.22483464724"",""1923.5343890562"",""1089.987563053"",""74.824684528702"",""41.888992132452"",""46.3"""
"2013,""Nordeste"",""Piauí"",""Branca"",""23.221278641806"",""6.9017447626171"",""30.480410989313"",""2671.2440588157"",""962.37145762004"",""19.172322541771"",""39.909442954599"",""9.18"""
"2013,""Nordeste"",""Piauí"",""Preta"",""76.73286809611"",""7.4697289531057"",""34.524000204105"",""1969.2638710105"",""665.90037876281"",""80.827677458229"",""60.090557045401"",""20.02"""
"2013,""Nordeste"",""Rio Grande do Norte"",""Branca"",""39.183046344693"",""9.0679195249027"",""24.287991583751"",""2165.5626495542"",""1094.8536553364"",""32.692187049684"",""55.090679162132"",""14.93"""
"2013,""Nordeste"",""Rio Grande do Norte"",""Preta"",""60.702744545828"",""11.722011307897"",""29.594139151527"",""1870.8800467686"",""845.20445296469"",""67.307812950316"",""44.727282934605"",""54.88"""
"2013,""Nordeste"",""Sergipe"",""Branca"",""25.439339607943"",""8.3311583775864"",""25.361232585437"",""3322.632068361"",""1260.3088596287"",""20.936803457633"",""44.319161331054"",""14.75"""
"2013,""Nordeste"",""Sergipe"",""Preta"",""74.059932497108"",""10.62218561957"",""30.830825265456"",""1796.963507599"",""836.25384350779"",""78.840949825304"",""54.37819819813"",""53.94"""
"2013,""Centro-Oeste"",""Distrito Federal"",""Branca"",""44.709986033765"",""8.1132215698239"",""14.257532403906"",""5890.959615735"",""2932.5532682175"",""32.586758782867"",""70.268651297601"",""6.39"""
"2013,""Centro-Oeste"",""Distrito Federal"",""Preta"",""54.473311419474"",""9.5102878433324"",""16.509911444196"",""3580.2597897301"",""1836.8309493025"",""66.88917109599"",""28.477250266661"",""49.22"""
"2013,""Centro-Oeste"",""Goiás"",""Branca"",""36.512847589368"",""5.1520813963358"",""10.719241690923"",""2889.6949922146"",""1874.4362277184"",""27.120729921612"",""58.44610626023"",""26.11"""
"2013,""Centro-Oeste"",""Goiás"",""Preta"",""62.858013831494"",""5.8593928455004"",""11.842522022995"",""2114.5648866439"",""1390.718523529"",""72.723515832015"",""40.771813821503"",""56.09"""
"2013,""Centro-Oeste"",""Mato Grosso"",""Branca"",""35.629483400977"",""3.2725372775303"",""8.5223448187094"",""3017.9900178064"",""1942.226190599"",""23.421999071342"",""60.700192915533"",""23.79"""
"2013,""Centro-Oeste"",""Mato Grosso"",""Preta"",""63.658487941644"",""5.030710463876"",""10.801439585351"",""2141.5652708223"",""1553.6171781476"",""76.095927452916"",""38.54755044414"",""43.1"""
"2013,""Centro-Oeste"",""Mato Grosso do Sul"",""Branca"",""45.010739157292"",""4.3218373799461"",""11.292657484898"",""2863.7884550066"",""1598.6212861761"",""30.722079385981"",""66.251808528339"",""19.38"""
"2013,""Centro-Oeste"",""Mato Grosso do Sul"",""Preta"",""53.779072636865"",""4.8069102966583"",""13.857316683896"",""1911.298781663"",""1335.2613762208"",""67.922025590598"",""31.425458321493"",""29.47"""
"2014,""Sul"",""Paraná"",""Branca"",""69.422586628431"",""3.4240743520954"",""8.3310223989715"",""2979.2089005593"",""1840.4338399943"",""58.38615703706"",""87.474557514954"",""30"""
"2014,""Sul"",""Paraná"",""Preta"",""29.429554977036"",""4.9412989362786"",""12.673350044049"",""2006.0626003638"",""1446.4058632411"",""40.56728962323"",""11.270712868088"",""18.53"""
"2014,""Sul"",""Rio Grande do Sul"",""Branca"",""82.918816282066"",""4.7619097501838"",""10.63309703054"",""2862.3311981951"",""1754.7539080024"",""67.054647250737"",""95.809975205909"",""22.07"""
"2014,""Sul"",""Rio Grande do Sul"",""Preta"",""16.79036257104"",""8.5805464992766"",""18.678588182909"",""1781.1820528567"",""1085.2211501215"",""32.327321669341"",""4.1406325401818"",""33.4"""
